Basic scripting,"Write simple code in Python
Write simple code in Javascript
Other languages
ML code snippets",
General coding help,"Rewrite code using better formatting / best practises
Refactor code
Explain complex code snippets
Add comments to code
Do a code review",
Write unit test,"Cover different languages
Explain code with comments
Import dependencies",
Interview preparation,"Algorithm problems
Explain the problem step by step
Write optimal code
Explain areas where people usually make mistakes
Explain alternative solutions and trade offs
Debug and fix code
System Design rounds
Proactively ask follow up questions
User asks AI help to take an Interview. AI takes an interview",
Debugging and Troubleshooting,"Debug error trace
Troubleshooting failures in installation",
DevOps," - mobile development frameworks
 - IDE integration
 - continous development frameworks
 - monitoring frameworks
 - cloud infrastructure 
 - database integration",
Learning,"Learn to program
Learn to use some tool / infra",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,`